No.,キャリー (yds),トータル (yds),ボールスピード (m/s),最高到達点 (yds),打出角 (度),左右打出角 (度),キャリーサイド (yds),Club-type
1,7,10,8,1,38.9,42.4左,4.7左,9i
2,110,118,38,22,25.8,5.6左,9.1左,9i
3,112,122,39,19,21.5,8.2左,21.6左,9i
4,84,112,35,8,17.3,18.3左,36.3左,9i
5,14,23,14,1,20.5,29.0左,7.0左,9i
6,112,118,39,26,28.6,9.0左,29.0左,9i
7,67,74,28,17,37.8,7.8右,15.1右,9i
8,100,113,36,17,23.7,9.0左,24.4左,9i
9,14,66,36,0,2.7,2.0右,0.9右,9i
10,69,113,43,3,8.9,5.4左,4.8右,9i
11,19,50,25,1,8.2,8.1左,1.7左,9i
12,80,90,31,16,29.9,5.5右,19.4右,9i
13,69,105,36,5,13.6,14.7左,27.5左,9i
14,87,101,35,13,23.6,15.2左,40.2左,9i
15,89,116,38,8,14.1,5.1左,5.3右,9i
16,68,108,40,3,9.3,3.9左,5.8右,9i
17,87,95,33,18,29.5,2.0右,8.9右,9i
18,110,117,39,23,26.7,6.7左,9.4左,9i
19,19,38,18,1,16.6,21.4左,7.6左,9i
20,96,103,35,20,28.6,1.1左,7.4右,9i
21,87,95,33,19,31.6,5.2右,18.9右,9i
22,31,78,35,1,6.0,3.6右,4.1右,9i
23,100,112,36,17,24.0,4.4左,2.5左,9i
24,30,52,21,3,20.1,0.3左,1.9右,9i
25,50,74,28,5,21.6,21.0左,24.1左,9i
26,88,97,33,16,26.4,1.5右,10.6右,9i
27,35,63,24,3,17.8,10.9左,4.1左,9i
28,38,68,26,3,16.6,19.7左,16.1左,9i
29,30,52,23,2,12.8,13.0左,7.2左,9i
30,14,62,34,0,3.0,1.9左,0.9左,9i
31,20,46,22,1,11.4,3.7左,0.2左,9i
32,87,119,37,6,12.8,10.8左,22.7左,9i
33,88,102,33,14,24.1,6.8右,19.0右,9i
34,88,111,35,11,19.7,7.3左,21.6左,9i
35,26,32,16,6,38.3,15.7左,7.0左,9i
36,38,47,20,9,38.2,6.0左,3.2左,9i
37,18,21,14,8,57.5,17.2左,4.2左,9i
38,43,50,21,12,42.5,2.5左,3.6左,9i
39,15,17,13,6,56.9,23.1左,5.2左,9i
40,105,112,37,22,26.9,4.9左,8.4左,9i
41,74,82,29,18,35.1,6.2右,15.2右,9i
42,72,81,29,16,33.6,8.8右,19.5右,9i
43,86,98,32,15,26.0,1.2左,0.6左,9i
44,71,82,29,11,25.9,6.9左,6.5左,9i
45,78,85,30,19,34.1,9.7左,11.6左,9i
46,68,79,28,12,28.8,5.8左,5.5左,9i
47,106,116,37,20,25.0,5.5左,5.4左,9i
48,80,105,34,8,17.4,9.4右,22.8右,9i
49,75,81,30,21,39.3,12.7右,25.1右,9i
50,79,87,30,18,32.9,5.1左,7.4左,9i
51,111,123,39,20,23.6,9.9左,31.3左,9i
52,18,39,20,1,12.9,6.9左,1.2左,9i
53,54,102,38,2,5.9,8.3左,5.6左,9i
54,90,109,35,12,21.3,14.5左,36.3左,9i
55,79,116,37,5,12.9,11.0左,23.0左,9i
56,57,66,25,13,35.4,10.9右,13.9右,9i
