No.,キャリー (yds),トータル (yds),ボールスピード (m/s),最高到達点 (yds),Club-type
1,77,84,30,20,9i
2,63,73,27,12,9i
3,111,117,39,27,9i
4,90,98,33,18,9i
5,85,91,33,19,9i
6,31,60,27,2,9i
7,112,117,40,30,9i
8,85,89,33,26,9i
9,32,36,19,13,9i
10,72,80,30,14,9i
11,87,116,39,7,9i
12,16,80,44,0,9i
13,29,86,41,1,9i
14,71,79,29,18,9i
15,60,94,36,4,9i
16,85,95,33,14,9i
17,70,85,30,10,9i
18,83,91,32,19,9i
19,33,40,18,9,9i
20,57,67,25,12,9i
21,51,59,23,13,9i
22,95,109,37,12,9i
23,111,118,39,22,9i
24,27,66,30,1,9i
25,24,56,27,1,9i
26,108,119,39,17,9i
27,135,149,45,20,9i
28,8,68,42,0,9i
29,111,122,40,17,9i
30,91,99,35,15,9i
31,64,96,36,4,9i
32,103,137,42,6,9i
33,83,90,32,17,9i
34,39,53,21,6,9i
35,61,98,38,3,9i
36,29,58,27,2,9i
37,89,98,33,17,9i
38,84,94,32,16,9i
39,84,96,33,15,9i
40,26,35,16,6,9i
41,23,46,23,1,9i
42,11,68,39,0,9i
43,2,7,9,0,9i
44,27,51,24,2,9i
45,74,85,30,13,9i
46,79,92,31,13,9i
47,44,52,21,11,9i
48,101,107,37,19,9i
49,88,97,33,17,9i
50,15,64,35,0,9i
51,29,66,30,1,9i
52,82,93,32,14,9i
53,55,64,24,11,9i
54,41,47,20,12,9i
55,31,38,17,8,9i
56,31,40,18,7,9i
57,76,85,30,17,9i
