No.,キャリー (yds),トータル (yds),ボールスピード (m/s),最高到達点 (yds),打出角 (度),左右打出角 (度),キャリーサイド (yds),Club-type
1,63,75,27,11,29.0,5.9左,10.6左,9i
2,14,56,30,0,4.0,4.4右,1.5右,9i
3,35,63,27,3,15.2,4.4右,0.6左,9i
4,26,53,24,1,9.7,5.9左,1.8左,9i
5,58,67,25,12,33.2,2.2右,3.3右,9i
6,26,41,19,3,21.7,40.3左,18.3左,9i
7,58,69,28,9,26.8,22.0右,31.1右,9i
8,31,34,19,13,55.2,20.0右,9.8右,9i
9,56,71,28,7,22.3,7.2右,15.9右,9i
10,14,49,28,0,3.6,12.1左,2.7左,9i
11,27,48,22,2,15.0,7.9右,5.7右,9i
12,8,30,20,0,5.1,46.8左,5.8左,9i
13,12,53,30,0,3.3,0.1右,0.3右,9i
14,10,22,14,1,14.0,60.0左,8.6左,9i
15,38,56,23,5,24.5,17.9左,15.5左,9i
16,35,44,20,8,38.9,38.7右,17.9右,9i
17,42,49,21,7,30.4,13.3右,12.8右,9i
18,80,91,31,14,26.7,1.6左,4.6左,9i
19,42,50,21,10,39.4,27.8右,19.2右,9i
20,3,27,22,0,1.5,20.2右,1.1右,9i
21,53,61,24,10,32.3,7.4右,11.6右,9i
22,40,51,20,8,34.1,13.3右,10.7右,9i
23,21,40,20,1,15.0,40.0左,14.4左,9i
24,26,66,31,1,7.9,11.9右,3.7右,9i
25,79,87,31,17,32.6,2.1右,12.6右,9i
26,55,88,29,4,14.9,5.8右,7.6右,9i
27,27,32,16,6,40.2,8.2右,2.7右,9i
28,60,69,26,13,35.1,9.9右,17.3右,9i
29,25,31,16,8,48.5,17.0右,7.5右,9i
30,36,42,20,13,50.1,5.4左,4.3左,9i
31,53,64,24,11,33.3,14.1右,18.1右,9i
32,30,39,17,6,35.8,5.6右,3.4右,9i
33,25,43,18,3,22.9,7.3左,1.9左,9i
34,68,79,28,12,29.6,4.0右,11.8右,9i
35,4,33,25,0,1.5,13.3左,1.0左,9i
36,77,87,31,14,29.2,11.8右,27.8右,9i
37,26,36,16,5,32.6,27.5右,11.7右,9i
38,78,88,31,15,29.8,3.5右,15.4右,9i
39,61,70,26,15,36.9,8.7右,14.8右,9i
40,14,36,19,1,10.2,9.2左,2.8左,9i
41,86,100,33,13,23.9,5.0右,16.7右,9i
42,18,28,15,3,28.0,6.4左,3.1左,9i
43,42,49,21,13,44.7,8.0右,6.2右,9i
44,16,25,14,2,22.3,27.3左,7.2左,9i
45,18,60,30,0,5.3,7.8右,3.3右,9i
46,46,83,33,2,8.7,8.9右,11.2右,9i
47,15,35,19,1,10.9,5.9左,2.1左,9i
48,79,89,31,16,30.8,4.0右,17.3右,9i
49,50,80,32,3,12.9,11.6右,16.3右,9i
