No.,キャリー (yds),トータル (yds),ボールスピード (m/s),最高到達点 (yds),打出角 (度),左右打出角 (度),キャリーサイド (yds)
1,42,85,36,1,7.0,0.1右,3.8右
2,61,69,26,14,35.5,1.4左,0.3右
3,12,61,34,0,2.7,10.1右,1.8右
4,80,84,32,17,30.3,10.5右,23.9右
5,9,54,32,0,2.2,12.5右,2.2右
6,12,55,31,0,3.2,1.8左,0.7左
7,78,93,33,10,20.5,7.3右,23.1右
8,69,74,29,15,32.2,8.7右,18.8右
9,90,96,34,19,28.9,2.2右,6.9右
10,64,70,27,13,31.8,12.0右,20.1右
11,87,95,33,17,27.8,4.0右,13.7右
12,22,47,23,1,12.3,12.2左,6.1左
13,98,103,36,23,30.4,4.5右,14.8右
14,49,57,23,10,32.7,4.6右,5.6右
15,56,64,25,11,32.4,1.9右,6.5右
16,50,59,24,8,27.3,1.8左,3.6右
17,58,66,25,14,38.1,9.6右,14.8右
18,55,77,31,6,19.1,19.5右,26.9右
19,85,93,33,15,26.5,1.8右,12.4右
20,29,35,17,6,34.5,5.1右,4.0右
21,11,58,34,0,2.5,3.9左,0.5左
22,45,86,34,1,6.2,3.7右,5.3右
23,58,78,29,8,24.1,20.1右,29.3右
24,87,97,33,15,25.1,0.4右,9.2右
25,62,73,26,13,32.3,7.9右,13.6右
26,14,66,36,0,2.8,6.5右,2.0右
27,46,53,22,11,38.0,5.8右,7.5右
28,105,113,37,21,26.4,6.0左,13.4左
29,101,112,37,16,22.5,9.5左,20.5左
30,83,92,32,15,27.1,0.4左,8.2右
31,56,61,25,18,44.8,11.2右,9.5右
32,95,103,35,19,28.2,0.2左,5.5右
33,28,83,39,1,4.9,9.3右,2.8右
34,61,71,26,13,35.4,25.5右,34.8右
35,92,95,35,24,33.2,4.6右,14.7右
36,109,115,39,20,23.3,9.8左,29.4左
37,66,74,28,13,31.8,13.7右,26.0右
38,82,91,31,15,27.6,7.9左,14.2左
39,66,75,27,14,32.3,5.2左,6.2左
40,105,109,38,26,30.7,8.3左,20.0左
41,61,82,31,6,18.0,5.5右,15.3右
42,38,46,20,9,40.2,0.9左,0.2左
43,30,40,17,6,36.3,6.4左,4.0左
44,75,88,30,12,25.0,11.4左,17.4左
45,97,106,36,16,23.4,7.7左,18.2左
46,21,29,15,4,31.8,2.0右,0.8右
47,10,59,35,0,1.5,3.9左,0.5左
48,34,40,18,8,40.6,1.2左,0.4左
49,30,35,17,8,43.2,0.9右,0.5右
50,98,102,36,20,28.0,1.6右,16.5右
51,86,92,33,20,32.6,2.2左,0.5右
52,31,37,18,11,49.2,15.8左,8.7左
53,17,26,13,3,31.8,5.1右,2.1右
54,84,91,32,19,32.3,2.1右,10.1右
55,60,87,33,5,14.1,5.4右,14.2右
