No.,キャリー (yds),トータル (yds),ボールスピード (m/s),最高到達点 (yds),打出角 (度),左右打出角 (度),キャリーサイド (yds),Club-type
1,80,93,32,13,26.2,8.7右,24.1右,9i
2,12,45,26,0,4.6,11.9左,2.7左,9i
3,68,79,30,10,25.3,15.5右,29.9右,9i
4,14,37,21,1,8.8,24.3左,6.2左,9i
5,31,83,34,1,7.2,6.4左,2.3左,9i
6,39,81,30,2,10.5,8.4左,4.4左,9i
7,30,69,27,2,11.3,11.4左,4.7左,9i
8,63,69,27,15,36.2,13.5左,19.3左,9i
9,49,80,28,4,16.0,5.5左,2.1左,9i
10,42,54,22,8,32.4,25.2右,22.3右,9i
11,51,57,23,13,39.8,13.7左,15.4左,9i
12,12,54,30,0,3.5,13.2左,2.5左,9i
13,9,48,29,0,2.6,5.9左,1.0左,9i
14,15,38,20,1,9.8,10.7左,2.2左,9i
15,47,98,40,1,5.1,11.1左,5.1左,9i
16,89,112,39,8,15.4,8.5右,30.3右,9i
17,41,45,21,13,46.5,13.0左,11.8左,9i
18,68,77,29,12,30.0,15.9右,31.2右,9i
19,11,49,28,0,3.7,18.1左,3.8左,9i
20,47,51,22,10,35.8,2.5左,1.3左,9i
21,71,87,33,8,21.0,14.1右,30.2右,9i
22,38,80,34,1,6.5,1.3右,3.6右,9i
23,57,72,27,8,26.5,20.3右,27.7右,9i
24,80,104,33,8,16.5,1.3左,0.7右,9i
25,102,113,37,16,21.9,2.5左,1.7左,9i
26,19,45,22,1,8.8,16.0左,4.6左,9i
27,97,107,36,15,21.1,2.2左,0.6右,9i
28,88,95,34,15,25.5,2.1右,13.8右,9i
29,43,49,21,11,40.2,9.5左,8.2左,9i
30,62,68,26,14,34.6,1.5右,4.9右,9i
31,64,70,27,17,38.4,6.9右,10.8右,9i
32,58,66,25,14,36.2,16.8左,17.0左,9i
33,95,105,36,14,21.3,14.8左,30.6左,9i
34,10,56,33,0,2.3,2.0右,0.5右,9i
35,40,82,32,2,8.7,0.3左,2.4右,9i
36,49,60,23,9,30.8,16.1左,15.2左,9i
37,59,80,31,6,19.3,9.5右,19.3右,9i
38,100,104,37,21,27.6,4.5左,4.2左,9i
39,79,89,31,12,23.6,8.3左,10.6左,9i
40,107,117,38,20,25.1,10.4左,34.9左,9i
41,73,89,32,10,23.1,10.4右,26.7右,9i
42,44,91,38,1,6.1,0.7右,4.3右,9i
43,82,94,32,13,24.7,3.0左,2.7左,9i
44,46,54,22,8,30.0,3.9左,0.9左,9i
45,27,36,17,4,27.1,0.9右,2.0右,9i
46,51,69,26,7,25.2,18.1右,22.5右,9i
47,51,61,23,10,33.0,15.8右,16.8右,9i
48,100,108,36,18,24.4,3.4左,5.1左,9i
49,15,51,27,0,5.2,0.8左,0.7左,9i
