No.,キャリー (yds),トータル (yds),ボールスピード (m/s),最高到達点 (yds),打出角 (度),左右打出角 (度),キャリーサイド (yds)
1,52,90,31,3,12.1,0.8左,2.8右
2,6,28,20,0,4.1,18.7左,2.1左
3,7,44,28,0,2.3,4.1左,0.6左
4,18,23,14,7,56.5,24.3左,8.3左
5,98,110,35,17,24.4,7.3左,9.6左
6,67,98,34,5,15.2,4.4右,14.3右
7,56,71,26,8,27.1,11.2右,19.1右
8,7,33,22,0,3.5,23.3左,2.8左
9,37,81,31,2,8.9,2.6左,0.9左
10,35,76,29,2,11.8,11.6左,8.5左
11,57,66,25,13,36.3,8.0左,8.6左
12,37,43,20,12,47.1,9.1左,7.7左
13,47,70,25,5,19.9,6.5右,8.4右
14,14,52,28,0,4.8,18.4左,4.9左
15,94,103,34,18,27.1,0.1右,2.3右
16,95,111,36,13,21.0,1.3右,14.2右
17,107,115,38,22,26.5,5.4左,14.9左
18,11,51,29,0,3.2,3.1左,0.9左
19,92,101,34,18,27.1,4.0左,3.1左
20,74,94,34,9,20.3,8.7右,25.9右
21,34,45,20,4,24.5,20.0右,12.9右
22,75,112,42,4,10.8,1.2左,12.2右
23,106,113,38,23,27.9,0.3右,10.1右
24,76,84,30,18,35.3,9.7右,23.6右
25,83,89,32,19,33.0,5.3右,18.2右
26,27,33,16,8,45.5,28.1右,12.5右
27,26,49,23,2,14.1,3.8左,0.2右
28,87,113,39,7,13.8,0.9右,17.2右
29,21,42,21,1,14.4,25.5左,10.4左
30,101,112,36,18,24.7,5.6左,2.2左
31,90,97,34,21,32.4,0.2右,11.3右
32,75,83,29,16,32.1,10.0左,12.0左
33,36,42,20,13,50.6,12.0左,8.6左
34,77,84,31,18,34.7,4.0右,16.3右
35,68,89,31,8,22.4,6.8左,3.2右
36,8,51,31,0,1.9,11.9左,1.5左
37,70,81,29,13,20.8,3.4右,0.8右
38,70,81,29,13,30.6,8.9右,23.5右
39,20,23,15,9,57.8,31.8左,10.6左
40,60,69,26,13,34.9,9.4左,12.2左
41,22,24,15,7,47.1,35.0左,12.6左
42,31,43,19,4,24.7,14.1右,9.6右
43,10,49,29,0,3.1,23.6左,4.3左
44,14,57,31,0,4.0,2.0左,0.9左
45,39,48,20,8,35.0,28.4右,17.4右
46,45,53,21,10,37.2,1.7右,1.9右
47,30,55,25,2,14.2,13.0左,9.2左
48,46,52,22,14,44.9,8.8左,11.5左
49,5,49,32,0,1.1,17.0左,1.4左
