No.,キャリー (yds),トータル (yds),ボールスピード (m/s),最高到達点 (yds),打出角 (度),左右打出角 (度),キャリーサイド (yds),Club-type
1,82,102,34,9,17.9,4.1左,0.5右,9i
2,51,70,28,5,19.2,10.1右,15.8右,9i
3,14,42,23,0,6.9,14.2右,3.9右,9i
4,18,66,34,0,4.2,4.5右,0.7右,9i
5,87,103,33,12,21.0,5.2左,5.0左,9i
6,86,110,35,8,15.3,13.0左,22.8左,9i
7,53,95,34,2,8.7,13.6左,13.0左,9i
8,20,48,24,1,10.1,20.8左,6.1左,9i
9,25,30,16,8,49.8,11.6左,3.4左,9i
10,24,31,16,3,27.7,5.8左,3.0左,9i
11,32,44,19,5,27.8,0.1右,1.3右,9i
12,37,53,21,5,23.9,3.4左,1.4左,9i
13,12,54,31,0,3.0,11.3左,2.0左,9i
14,13,49,27,0,4.8,2.0右,0.9右,9i
15,14,16,12,5,55.3,4.0左,0.3左,9i
16,34,56,24,2,14.3,16.5右,11.9右,9i
17,28,52,24,2,14.2,5.8右,0.5右,9i
18,14,59,32,0,3.6,4.9左,0.8左,9i
19,15,49,26,0,5.5,2.1右,1.1右,9i
20,78,85,31,15,28.1,1.1左,2.0右,9i
21,16,64,34,0,3.7,15.9左,4.9左,9i
22,65,88,33,6,17.1,15.8右,28.4右,9i
23,16,37,19,1,10.5,8.0左,2.9左,9i
24,15,34,19,1,11.7,23.9左,6.7左,9i
25,15,38,20,1,10.1,24.5左,7.0左,9i
26,21,46,23,1,11.8,15.4左,6.8左,9i
27,57,78,31,6,18.3,13.3右,21.8右,9i
28,60,71,27,9,26.5,6.7右,14.2右,9i
29,15,41,22,1,10.8,19.0左,4.9左,9i
30,21,61,30,0,4.8,6.5左,1.5左,9i
31,77,88,31,13,25.0,5.1左,5.3左,9i
32,15,46,25,0,5.4,11.8左,2.6左,9i
33,16,55,29,0,5.1,1.3左,0.2右,9i
34,42,69,28,3,12.4,3.7右,6.0右,9i
35,88,94,33,18,29.1,2.0左,2.7左,9i
36,10,21,14,1,15.1,11.0右,1.6右,9i
37,66,100,32,5,14.1,2.4右,6.2右,9i
38,34,45,19,5,29.9,4.2左,2.7左,9i
39,34,43,19,6,32.1,3.5左,2.1左,9i
40,46,51,22,10,36.3,12.5右,12.6右,9i
41,83,101,33,11,22.0,16.7左,35.7左,9i
42,90,116,39,7,13.1,2.0左,10.5右,9i
43,18,21,14,7,55.1,11.7左,3.0左,9i
44,26,78,37,1,5.5,5.5左,4.1左,9i
45,50,65,24,6,23.6,9.0左,8.6左,9i
46,40,57,23,5,23.9,12.0左,12.2左,9i
47,41,48,21,9,37.3,13.8左,12.7左,9i
48,23,29,15,8,51.5,3.4左,2.2左,9i
49,14,25,14,1,17.7,44.8左,9.6左,9i
50,64,74,27,11,27.6,4.5左,6.6左,9i
51,75,88,30,12,26.2,2.6右,8.8右,9i
52,71,82,29,12,25.6,0.9左,0.3左,9i
53,62,70,26,12,31.5,4.3左,4.7左,9i
54,23,27,15,9,53.4,16.9左,6.1左,9i
55,35,48,20,5,28.6,18.8右,12.9右,9i
56,103,110,37,22,27.9,0.7右,8.6右,9i
57,93,98,35,20,29.0,6.5右,19.0右,9i
58,91,96,34,18,28.0,4.5右,12.0右,9i
59,108,116,38,20,24.5,1.1左,5.1右,9i
60,88,92,33,19,29.8,8.2右,22.6右,9i
61,17,62,32,0,4.4,13.8右,4.7右,9i
62,22,61,30,1,7.0,3.0左,0.1右,9i
63,22,42,18,2,20.4,11.8左,3.6左,9i
64,4,42,30,0,0.9,4.8左,0.3左,9i
65,64,74,28,11,28.1,16.5右,26.9右,9i
66,55,63,25,10,30.3,12.9右,19.1右,9i
67,54,61,24,13,38.7,19.2右,22.4右,9i
68,10,12,10,4,57.9,14.2左,2.4左,9i
69,33,41,19,5,27.8,2.2左,1.0右,9i
70,77,93,31,11,23.2,4.4左,3.6左,9i
71,64,79,28,9,24.2,2.0右,9.9右,9i
72,90,103,34,14,23.2,8.6左,12.3左,9i
73,16,18,13,6,52.4,16.3左,4.6左,9i
74,21,27,14,6,48.4,14.9左,4.6左,9i
75,73,80,30,12,27.0,6.3右,16.7右,9i
76,40,60,23,4,19.1,13.2右,11.6右,9i
77,82,92,32,13,24.4,0.5左,8.4右,9i
78,45,94,36,1,6.7,6.2左,3.3左,9i
79,91,105,34,13,21.2,9.9左,14.6左,9i
80,11,40,23,0,5.7,11.2左,2.5左,9i
81,28,71,30,1,8.4,9.5左,3.4左,9i
82,26,62,28,1,9.5,11.3右,3.3右,9i
83,80,86,31,18,32.1,0.4左,3.4右,9i
84,77,81,31,16,30.1,1.8右,9.4右,9i
85,28,60,26,2,12.0,5.9左,1.0左,9i
86,18,62,32,0,4.7,6.7左,2.8左,9i
87,97,104,36,18,25.8,11.0左,32.1左,9i
88,24,29,15,6,44.1,12.5右,5.7右,9i
89,68,77,29,11,26.3,5.9右,11.9右,9i
90,72,78,29,14,29.9,0.6右,7.7右,9i
91,62,107,38,2,6.8,9.9左,8.0左,9i
92,68,104,37,3,8.3,5.0右,10.3右,9i
93,76,85,30,13,26.6,1.0左,1.2右,9i
94,83,90,32,16,27.9,5.4右,17.8右,9i
95,112,122,40,18,21.1,16.7左,43.7左,9i
96,42,63,24,4,18.3,21.2右,17.8右,9i
97,103,114,38,16,22.5,13.6左,39.4左,9i
98,103,115,37,17,22.5,9.2左,20.3左,9i
99,38,47,20,8,37.1,0.4左,1.1右,9i
100,58,69,26,9,26.1,3.7左,2.4左,9i
101,88,96,33,15,24.5,8.1左,13.6左,9i
102,42,52,21,9,36.5,29.8左,21.4左,9i
103,39,49,20,8,33.5,14.3左,10.7左,9i
104,52,65,25,7,24.2,2.1右,1.3右,9i
105,43,50,22,7,29.1,6.3右,6.5右,9i
106,95,100,35,20,29.1,5.3右,19.0右,9i
107,31,39,17,7,38.9,1.1左,0.4左,9i
108,47,58,23,8,29.0,3.6右,5.0右,9i
109,24,30,15,7,48.0,4.0右,3.0右,9i
