No.,キャリー (yds),トータル (yds),ボールスピード (m/s),最高到達点 (yds),打出角 (度),左右打出角 (度),キャリーサイド (yds)
1,46,57,22,9,33.0,6.9右,8.9右
2,21,61,30,0,5.1,8.5右,4.0右
3,34,49,20,5,26.7,4.4左,4.0左
4,15,35,19,1,11.8,11.8右,2.5右
5,63,87,29,7,19.2,5.1右,11.9右
6,85,95,33,15,25.8,4.2右,15.1右
7,13,63,35,0,2.5,2.8左,0.3左
8,57,87,32,3,10.4,9.4左,9.8左
9,68,89,29,8,20.3,4.7左,3.2左
10,94,106,34,16,24.3,3.5左,3.0左
11,45,60,22,6,26.2,5.5右,6.3右
12,83,95,32,13,24.3,5.2右,16.5右
13,67,80,29,9,23.2,0.8右,5.8右
14,24,33,15,5,38.0,11.4右,3.6右
15,41,49,21,7,30.8,8.2右,7.8右
16,62,76,28,9,24.4,12.1右,21.0右
17,14,16,11,4,45.6,5.1右,1.5右
18,25,32,16,4,30.1,26.5右,11.5右
19,18,66,34,0,3.9,1.1右,1.0右
20,59,75,28,7,19.7,0.3右,4.0右
21,62,75,28,8,22.7,3.6右,9.8右
22,57,89,33,3,11.3,4.9右,11.5右
23,94,105,35,16,24.2,0.1右,6.0右
24,55,72,27,6,19.0,5.3左,2.9左
25,60,76,28,7,19.4,3.3左,0.5左
26,71,85,30,9,20.7,4.0左,1.1左
27,60,73,28,8,22.6,6.1右,12.8右
28,18,21,13,4,39.8,27.6右,7.6右
29,43,61,24,4,17.3,4.3左,2.2左
30,58,70,27,8,23.8,4.3右,9.8右
31,82,91,32,13,24.6,2.2右,12.7右
32,53,91,35,2,7.3,1.4左,1.7右
33,63,71,27,15,37.1,20.9右,30.4右
34,79,95,32,9,18.8,12.8左,20.4左
35,82,100,34,9,17.6,1.5右,11.1右
36,22,28,15,4,31.5,5.5右,1.8右
37,52,69,26,6,19.5,4.6左,2.1左
38,63,76,28,8,22.3,4.7左,2.6左
39,97,110,36,13,19.1,10.4左,17.3左
40,57,87,33,3,11.7,6.1右,12.6右
41,88,98,34,13,22.7,4.7左,1.0左
42,74,81,30,19,38.3,17.1右,35.9右
43,74,90,31,9,19.2,5.4左,2.7左
44,76,110,37,4,9.3,14.9左,25.8左
45,72,82,30,11,24.7,4.9左,4.7左
46,105,112,37,20,24.8,2.9左,0.2左
47,99,108,36,18,24.6,8.0左,10.9左
48,96,103,35,19,27.2,1.8右,12.8右
49,58,72,27,7,21.6,11.1左,10.2左
50,91,100,34,15,23.6,6.6左,9.5左
51,55,70,26,6,20.1,8.9左,6.4左
52,104,115,38,15,19.9,9.6左,18.3左
53,75,86,30,13,26.5,1.5左,3.3右
54,97,102,36,20,27.2,4.8左,0.5左
55,106,110,38,22,26.3,4.2左,1.7右
56,76,80,30,18,33.9,0.9右,8.6右
