No.,キャリー (yds),トータル (yds),ボールスピード (m/s),最高到達点 (yds)
1,55,72,27,6
2,60,76,28,7
3,71,85,30,9
4,60,73,28,8
5,18,21,13,4
6,43,61,24,4
7,58,70,27,8
8,82,91,32,13
9,53,91,35,2
10,63,71,27,15
11,79,95,32,9
12,82,100,34,9
13,22,28,15,4
14,52,69,26,6
15,63,76,28,8
16,97,110,36,13
17,57,87,33,3
18,88,98,34,13
19,74,81,30,19
20,74,90,31,9
21,76,110,37,4
22,72,82,30,11
23,105,112,37,20
24,99,108,36,18
25,96,103,35,19
26,58,72,27,7
27,91,100,34,15
28,55,70,26,6
29,104,115,38,15
30,75,86,30,13
31,97,102,36,20
32,106,110,38,22
33,76,80,30,18
