No.,キャリー (yds),トータル (yds),ボールスピード (m/s),最高到達点 (yds),打出角 (度),左右打出角 (度),キャリーサイド (yds),Club-type
1,46,69,27,4,15.0,5.3右,7.5右,9i
2,36,44,19,7,33.4,7.5右,6.7右,9i
3,88,98,34,14,23.4,4.6左,5.9左,9i
4,45,59,22,7,27.9,4.4左,1.4左,9i
5,66,77,28,11,27.0,0.6左,6.7右,9i
6,25,43,18,3,23.5,10.9左,6.2左,9i
7,67,98,32,5,14.8,13.7左,16.0左,9i
8,19,41,20,1,12.7,9.5左,2.1左,9i
9,69,85,29,10,25.2,1.1右,7.2右,9i
10,4,35,25,0,1.7,4.8左,0.3左,9i
11,80,98,32,11,22.3,6.9左,11.3左,9i
12,71,85,29,11,25.0,8.7左,13.1左,9i
13,93,103,34,18,26.7,0.3右,3.9右,9i
14,90,102,33,15,25.0,7.7左,16.9左,9i
15,70,82,29,12,27.9,2.9右,10.1右,9i
16,69,85,29,10,24.8,8.1左,8.8左,9i
17,89,106,34,11,19.8,1.4右,6.6右,9i
18,53,63,24,11,34.6,23.1右,26.1右,9i
19,51,58,24,14,41.5,15.8右,19.6右,9i
20,90,107,34,13,22.2,9.7左,17.1左,9i
21,16,31,15,1,19.8,22.8左,6.8左,9i
22,48,79,31,3,12.3,14.8右,17.3右,9i
23,69,79,28,13,29.6,4.4右,12.3右,9i
24,80,91,31,15,27.9,2.6右,8.2右,9i
25,95,114,35,12,20.0,1.9左,3.8右,9i
26,69,97,32,6,16.9,16.7左,27.6左,9i
27,94,119,36,10,17.6,10.2左,21.6左,9i
28,14,57,31,0,4.0,9.8左,2.0左,9i
29,92,113,37,11,19.3,14.9左,40.3左,9i
30,78,88,30,14,28.0,2.2左,3.9左,9i
31,107,118,37,19,24.3,0.8左,5.4左,9i
32,92,104,36,15,25.3,12.7左,40.2左,9i
33,104,116,37,18,23.8,4.6左,17.2左,9i
34,48,59,24,7,25.4,0.7右,3.2右,9i
35,72,92,33,9,21.8,17.6左,35.4左,9i
36,14,17,12,6,57.5,42.1左,9.4左,9i
37,7,22,16,0,7.4,11.1左,1.5左,9i
38,8,43,27,0,2.2,3.5右,0.6右,9i
39,13,38,21,0,7.7,26.5左,5.4左,9i
40,44,73,26,4,16.7,6.3右,6.7右,9i
41,80,97,32,10,21.0,0.5右,9.4右,9i
42,60,91,34,5,14.9,5.5右,14.8右,9i
43,73,100,34,6,14.5,3.8右,14.1右,9i
44,25,32,16,5,36.6,26.2右,11.9右,9i
45,37,65,25,3,17.9,3.1右,0.9左,9i
46,68,77,29,12,28.9,2.9右,11.9右,9i
47,5,37,25,0,1.9,10.1左,0.9左,9i
48,66,73,27,14,33.1,3.3右,9.1右,9i
49,16,28,14,2,22.6,35.3左,9.7左,9i
50,93,101,34,18,27.3,3.7左,6.8左,9i
51,91,95,34,21,31.8,5.2右,16.5右,9i
52,10,35,19,0,7.3,17.4右,3.3右,9i
53,25,51,23,1,10.5,4.8右,3.3右,9i
54,25,45,21,2,13.9,23.5右,11.1右,9i
55,34,49,21,3,19.5,12.7左,7.5左,9i
56,45,55,23,6,25.0,6.2左,2.2左,9i
