No.,キャリー (yds),トータル (yds),ボールスピード (m/s),最高到達点 (yds),打出角 (度),左右打出角 (度),キャリーサイド (yds),Club-type
1,83,97,32,13,24.7,6.1左,9.4左,9i
2,50,57,23,15,43.7,13.1左,11.1左,9i
3,81,91,31,15,28.0,0.1左,7.3右,9i
4,98,112,35,15,22.8,0.4左,5.6右,9i
5,53,64,25,11,35.0,28.9右,33.0右,9i
6,8,36,23,0,3.9,8.8左,1.1左,9i
7,27,56,26,1,11.4,5.2右,0.4右,9i
8,24,46,20,2,17.1,1.8左,0.6右,9i
9,88,97,33,18,30.5,1.0右,16.2右,9i
10,51,98,39,1,5.6,2.0左,2.4右,9i
11,62,93,35,4,11.9,5.2右,13.8右,9i
12,16,31,15,2,22.1,10.1左,2.2左,9i
13,25,55,25,1,9.3,14.0左,4.7左,9i
14,65,76,27,12,30.5,27.0右,36.8右,9i
15,66,76,28,14,33.9,10.7右,22.5右,9i
16,88,100,33,15,25.6,0.7右,14.7右,9i
17,21,73,37,0,2.8,4.8右,2.5右,9i
18,26,48,21,2,17.4,11.8左,3.6左,9i
19,29,85,40,1,4.7,7.2右,5.4右,9i
20,84,115,38,6,12.7,1.1左,10.7右,9i
21,24,34,17,4,29.7,40.9右,17.3右,9i
22,65,74,28,12,30.7,9.2右,20.5右,9i
23,66,88,32,7,20.2,20.3右,33.5右,9i
24,12,58,32,0,3.0,1.6左,0.6左,9i
25,16,47,23,1,8.2,1.7左,0.9左,9i
26,24,76,37,1,4.9,5.8右,3.7右,9i
27,12,40,22,0,6.6,13.3左,3.3左,9i
28,6,60,38,0,1.0,7.1右,0.7右,9i
29,108,134,39,11,16.0,3.4左,1.3左,9i
30,49,62,25,8,30.2,33.2右,33.1右,9i
31,89,102,33,14,24.3,5.3左,5.8左,9i
32,50,91,32,3,11.8,23.2右,23.1右,9i
33,77,91,30,12,25.0,2.1左,1.1左,9i
34,73,99,33,7,16.2,1.7左,5.0右,9i
35,12,57,32,0,3.1,1.8右,0.7右,9i
36,98,107,36,19,27.7,3.1右,20.9右,9i
37,14,55,30,0,4.1,1.4左,0.8左,9i
38,25,54,25,1,11.3,6.9右,4.8右,9i
39,58,67,25,14,37.6,12.1右,18.7右,9i
40,50,85,33,3,10.0,16.7右,19.5右,9i
41,99,106,36,21,29.2,2.6右,14.5右,9i
42,70,82,29,11,27.3,18.3右,30.9右,9i
43,67,74,28,17,37.9,18.8右,30.1右,9i
44,21,43,21,1,13.0,7.4左,1.4左,9i
45,39,47,20,9,40.0,25.2右,13.5右,9i
46,47,54,22,12,40.9,22.8右,18.4右,9i
47,84,96,32,14,26.0,2.3右,12.2右,9i
48,59,79,27,7,23.0,12.3右,19.4右,9i
49,19,66,33,0,4.7,1.3右,0.4左,9i
50,67,83,29,10,24.9,4.4右,12.7右,9i
51,77,90,31,13,26.8,5.6右,18.6右,9i
52,20,72,37,0,4.0,20.1右,7.6右,9i
53,23,45,20,2,16.1,14.3左,4.4左,9i
54,14,49,27,0,4.9,3.3右,1.2右,9i
