No.,キャリー (yds),トータル (yds),ボールスピード (m/s),最高到達点 (yds),打出角 (度),左右打出角 (度),キャリーサイド (yds),Club-type
1,44,52,22,10,39.8,2.0右,4.3左,9i
2,91,99,34,19,29.6,4.1右,16.7右,9i
3,21,45,22,1,11.6,29.8左,11.2左,9i
4,61,91,32,6,17.9,13.0右,22.3右,9i
5,39,74,31,2,10.6,19.4右,16.7右,9i
6,73,80,29,19,36.6,23.8右,33.2右,9i
7,77,86,31,15,30.9,5.7右,19.3右,9i
8,38,65,28,3,15.0,12.0右,12.0右,9i
9,87,149,54,4,9.5,0.7右,11.3左,9i
10,23,45,19,2,17.5,8.6左,4.3左,9i
11,26,76,37,0,3.2,5.6右,3.5右,9i
12,80,94,32,13,25.7,3.0右,15.7右,9i
13,12,48,28,0,3.6,21.3右,4.7右,9i
14,24,44,21,2,15.3,25.9左,11.8左,9i
15,58,109,40,2,6.9,4.4左,0.9左,9i
16,53,89,34,3,10.0,6.3右,11.5右,9i
17,15,24,13,2,25.5,38.2左,8.5左,9i
18,23,44,20,2,17.8,17.6左,8.4左,9i
19,14,58,31,0,3.6,12.7右,3.6右,9i
20,91,98,34,21,32.5,7.6右,28.4右,9i
21,22,37,17,2,23.5,11.4左,5.6左,9i
22,16,47,25,1,7.0,26.6左,7.7左,9i
23,28,57,23,2,14.7,8.5左,2.5左,9i
24,65,90,31,7,19.9,4.6右,14.6右,9i
25,113,135,40,14,17.9,2.4右,14.5右,9i
26,5,47,32,0,1.1,3.8左,0.3左,9i
27,85,95,33,16,29.4,15.0右,38.1右,9i
28,84,93,32,18,30.5,4.0左,15.4左,9i
29,40,46,21,14,51.1,16.2右,5.3右,9i
30,41,59,23,5,24.1,26.0右,21.5右,9i
31,31,51,21,4,23.6,30.8右,18.1右,9i
32,70,81,30,12,29.5,8.7右,25.3右,9i
33,105,112,37,23,28.1,0.6左,9.8右,9i
34,74,115,37,5,13.0,3.7左,2.6右,9i
35,70,82,30,12,29.8,17.0右,34.0右,9i
36,56,64,25,14,38.4,0.8左,1.4右,9i
37,27,47,19,3,21.6,34.0右,13.5右,9i
38,55,65,24,11,32.7,12.8右,15.9右,9i
39,5,51,33,0,1.0,2.9左,0.2左,9i
40,102,108,37,26,32.3,3.7右,16.8右,9i
41,93,104,35,17,26.6,6.2右,27.5右,9i
42,24,51,22,2,14.1,9.8左,2.7左,9i
43,55,63,25,14,39.3,25.6右,27.6右,9i
44,26,51,22,2,15.7,10.8左,3.2左,9i
45,81,90,31,17,31.7,5.8右,20.1右,9i
46,7,31,21,0,4.0,14.3左,1.6左,9i
47,73,90,32,10,23.2,13.3右,29.7右,9i
48,91,117,41,8,15.4,12.6右,39.8右,9i
49,62,71,26,15,37.0,19.5右,27.4右,9i
50,46,55,22,11,39.0,19.9右,15.5右,9i
51,22,50,24,1,10.3,10.3左,5.1左,9i
52,62,88,33,6,17.5,9.7右,21.0右,9i
53,29,37,17,6,38.8,14.6右,7.8右,9i
54,51,105,42,1,4.7,2.5左,1.8右,9i
55,20,37,19,2,16.4,18.4左,7.3左,9i
56,96,113,37,13,22.2,8.7右,35.3右,9i
57,92,100,34,20,30.6,0.1右,11.5右,9i
58,69,77,28,15,35.0,9.5右,23.0右,9i
