No.,キャリー (yds),トータル (yds),ボールスピード (m/s),最高到達点 (yds),打出角 (度),左右打出角 (度),キャリーサイド (yds),Club-type
1,18,24,13,6,52.9,13.7左,3.5左,9i
2,14,16,13,6,58.8,5.0左,2.0左,9i
3,11,44,25,0,4.6,3.1左,0.9左,9i
4,21,25,15,7,50.4,20.7左,7.0左,9i
5,42,56,22,7,28.5,15.7右,14.6右,9i
6,96,107,35,17,25.6,5.5左,16.0左,9i
7,23,54,23,1,12.3,10.8左,3.4左,9i
8,57,76,28,7,24.0,18.6右,26.2右,9i
9,61,85,31,7,20.0,15.7右,26.1右,9i
10,53,90,35,3,9.4,2.0右,7.6右,9i
11,52,74,29,5,18.0,10.2右,16.8右,9i
12,24,72,34,1,5.7,12.1左,6.3左,9i
13,95,109,35,15,23.4,6.6左,12.2左,9i
14,108,119,38,19,23.9,5.4左,16.5左,9i
15,23,50,21,2,14.5,11.9左,3.8左,9i
16,11,49,28,0,3.3,9.0右,1.9右,9i
17,107,119,38,18,22.3,5.3左,11.5左,9i
18,112,124,39,19,23.1,2.8左,19.8左,9i
19,80,124,43,3,7.8,3.6右,15.1右,9i
20,112,122,39,19,22.1,1.8右,4.7右,9i
21,20,69,35,0,4.5,17.1右,5.1右,9i
22,108,134,42,9,11.5,0.8左,9.1右,9i
23,110,121,38,19,23.1,2.5左,6.1左,9i
24,31,50,20,4,24.2,9.7左,8.0左,9i
25,101,111,37,17,22.8,0.2左,11.1右,9i
26,89,102,33,15,24.6,1.2右,0.0,9i
27,65,105,40,3,9.5,4.7右,14.9右,9i
28,100,108,36,18,24.7,0.2右,7.0右,9i
29,92,104,34,16,25.7,1.1右,4.9右,9i
30,93,102,35,15,22.9,5.8右,20.4右,9i
31,25,39,17,3,27.0,17.6左,5.8左,9i
32,22,64,31,1,6.2,18.7左,5.9左,9i
33,23,53,25,1,10.5,14.1左,7.1左,9i
34,83,104,34,9,16.9,4.6左,14.0左,9i
35,101,108,36,22,28.6,4.4右,13.7右,9i
36,51,79,29,5,19.6,11.0左,16.0左,9i
37,87,102,33,13,23.8,4.0右,4.3右,9i
38,106,120,38,15,19.9,1.2左,4.9左,9i
39,30,48,20,4,24.7,8.3左,6.9左,9i
40,33,60,23,3,18.4,6.6左,1.5左,9i
41,102,120,38,14,20.5,9.5左,33.0左,9i
42,67,86,29,9,22.6,6.6右,8.7右,9i
43,122,136,42,17,17.3,3.7左,11.2左,9i
44,33,65,25,2,14.8,5.6左,5.3左,9i
45,35,84,37,1,3.6,9.3右,6.9右,9i
46,96,109,36,14,21.0,1.9右,8.4右,9i
47,36,63,26,3,16.8,12.8左,11.2左,9i
48,56,76,28,6,18.4,11.2右,16.5右,9i
49,102,122,38,11,16.2,5.3左,10.9左,9i
50,110,119,39,18,21.2,4.2左,9.4左,9i
51,33,49,21,4,26.3,14.1左,4.9左,9i
52,102,128,38,10,15.4,2.3左,0.5右,9i
53,88,127,39,5,10.3,9.0左,16.1左,9i
