No.,キャリー (yds),トータル (yds),ボールスピード (m/s),最高到達点 (yds),打出角 (度),左右打出角 (度),キャリーサイド (yds),Club-type
1,11,16,11,2,35.7,22.6右,4.7右,9i
2,48,69,24,5,21.5,11.9左,11.2左,9i
3,21,40,19,1,12.9,11.7左,4.3左,9i
4,58,81,28,5,16.7,16.3左,18.6左,9i
5,50,71,26,5,17.2,14.7左,14.2左,9i
6,19,29,15,2,21.4,12.4左,3.8左,9i
7,39,59,22,4,19.5,11.5左,8.2左,9i
8,74,98,32,8,18.6,15.9左,29.0左,9i
9,67,87,29,8,20.8,0.9右,7.5右,9i
10,39,51,20,6,29.2,14.1左,9.5左,9i
11,41,53,22,6,24.9,15.5左,10.7左,9i
12,66,92,32,5,15.1,21.5左,30.4左,9i
13,51,89,33,2,8.7,4.9左,1.8左,9i
14,33,46,20,4,23.6,15.9左,9.0左,9i
15,50,73,26,5,18.2,16.2左,17.2左,9i
16,45,51,22,11,38.1,22.1左,19.7左,9i
17,57,85,30,4,14.3,19.9左,23.2左,9i
18,17,20,13,4,39.6,8.4右,2.7右,9i
19,19,25,14,6,50.6,2.7右,1.8右,9i
20,87,110,34,9,17.2,13.7左,24.0左,9i
21,85,101,32,13,23.4,2.8左,1.0右,9i
22,60,71,26,11,30.4,1.7右,5.0右,9i
23,55,76,26,6,21.9,12.0左,12.3左,9i
24,43,56,22,7,29.4,2.1左,1.6右,9i
25,19,25,14,6,49.6,12.8左,3.2左,9i
26,84,107,34,9,16.9,14.4左,25.6左,9i
27,31,39,18,5,31.9,15.9左,8.5左,9i
28,52,77,29,4,15.1,21.3左,24.5左,9i
29,49,57,23,8,29.3,23.8左,23.0左,9i
30,64,90,30,5,15.5,0.8右,3.1右,9i
31,47,69,26,4,16.0,10.0左,9.1左,9i
32,37,53,22,4,19.8,14.9左,9.8左,9i
33,27,63,26,1,10.7,1.5右,1.7右,9i
34,18,36,19,1,14.5,10.1左,4.0左,9i
35,61,72,26,11,30.3,9.9右,15.0右,9i
36,17,61,32,0,4.7,13.5左,4.7左,9i
37,4,46,31,0,1.0,6.2左,0.5左,9i
38,7,46,29,0,2.2,3.7左,0.4左,9i
39,51,63,25,7,23.6,1.4右,2.1右,9i
40,36,56,24,3,15.7,17.5右,12.8右,9i
41,78,101,33,8,17.6,12.2左,24.0左,9i
42,72,96,34,6,15.8,13.1左,26.6左,9i
43,20,36,18,2,17.2,4.6左,2.8左,9i
44,9,52,31,0,2.4,9.3左,1.6左,9i
45,23,73,36,0,4.7,9.9右,5.0右,9i
46,63,90,31,5,14.3,13.1左,15.8左,9i
47,20,29,14,4,38.8,0.8右,1.8右,9i
48,33,66,28,1,7.9,11.4右,7.4右,9i
49,64,83,29,6,17.5,0.9右,2.6右,9i
50,82,99,33,10,18.6,9.0左,12.9左,9i
51,35,75,33,1,6.9,0.9右,3.0右,9i
52,32,43,19,5,26.8,18.9右,12.3右,9i
53,63,85,29,7,19.5,9.5左,14.6左,9i
54,71,96,34,7,16.4,17.7左,32.5左,9i
55,45,78,30,2,9.4,8.2左,8.4左,7i
56,65,81,29,8,20.4,12.6右,21.3右,7i
57,23,49,23,1,12.4,3.4右,2.9右,7i
58,2,15,15,0,2.0,1.6左,0.1左,7i
59,36,55,23,3,16.4,4.5右,4.1右,7i
60,23,57,27,1,5.7,5.5右,2.4右,7i
61,40,85,33,1,7.4,17.2左,13.7左,7i
62,18,33,17,1,15.2,10.0左,3.1左,7i
63,38,79,29,2,10.5,9.1左,6.6左,7i
64,38,75,27,2,11.8,7.4左,4.2左,7i
65,38,54,21,5,24.9,20.9左,14.8左,7i
66,29,64,26,1,9.3,6.0右,3.8右,7i
67,49,84,32,2,9.2,1.9右,5.0右,7i
68,24,70,33,0,4.4,4.5右,3.0右,7i
69,3,35,26,0,1.0,27.7右,1.5右,7i
70,105,115,38,18,22.8,3.9右,19.9右,7i
71,26,75,35,1,5.6,11.3右,6.5右,7i
72,22,56,27,1,8.5,3.5右,2.6右,7i
73,14,56,30,0,4.1,8.7左,2.6左,7i
74,11,64,36,0,2.1,1.8右,0.6右,7i
75,25,54,25,1,11.1,1.3左,2.3左,7i
76,17,31,16,1,15.9,19.3右,5.6右,7i
77,100,114,38,14,19.5,4.0右,20.6右,7i
78,28,81,38,1,3.9,6.3右,4.6右,7i
79,17,69,36,0,3.5,5.2右,1.0右,7i
80,115,126,40,20,23.0,3.3左,20.9左,7i
81,62,73,27,11,28.8,9.2右,15.7右,7i
82,5,47,31,0,1.4,7.5左,0.7左,7i
83,83,95,33,13,24.0,5.7右,18.5右,7i
84,85,115,36,7,13.6,2.4右,6.8右,7i
85,33,44,18,6,32.3,26.2右,15.7右,7i
86,4,47,33,0,0.8,4.4左,0.3左,7i
87,41,84,31,2,9.5,7.9左,6.4左,7i
88,59,81,29,6,17.5,11.4右,17.1右,7i
