No.,キャリー (yds),トータル (yds),ボールスピード (m/s),最高到達点 (yds),打出角 (度),左右打出角 (度),キャリーサイド (yds),Club-type
1,6,15,12,0,9.9,4.5左,0.5左,9i
2,18,65,35,0,2.2,5.0左,1.2左,9i
3,20,73,37,0,3.8,4.5右,2.4右,9i
4,72,81,29,13,28.6,1.5左,4.1右,9i
5,30,67,29,1,10.1,4.3左,0.2左,9i
6,26,63,30,1,8.6,2.8右,0.5左,9i
7,33,75,33,1,6.8,5.1右,5.3右,9i
8,41,73,30,2,10.5,7.9右,9.1右,9i
9,30,47,22,3,20.2,13.1左,9.5左,9i
10,34,51,21,4,25.6,18.3左,13.7左,9i
11,22,58,28,1,6.9,6.3左,1.3左,9i
12,75,85,30,13,26.4,0.4左,0.5左,9i
13,22,65,32,0,4.6,9.9右,4.7右,9i
14,24,43,19,2,19.7,14.4左,7.5左,9i
15,23,42,18,2,21.1,6.7右,3.9右,9i
16,89,100,33,15,25.5,3.5左,8.4左,9i
17,75,90,30,10,22.3,2.9右,5.8右,9i
18,17,45,23,1,8.9,8.3右,3.3右,9i
19,60,71,28,9,25.4,9.7右,19.0右,9i
20,38,81,34,2,9.7,2.2右,5.2右,9i
21,16,43,23,1,8.5,9.4右,3.2右,9i
22,64,86,28,8,21.0,7.2左,11.7左,9i
23,85,93,32,16,27.6,1.0左,1.7左,9i
24,91,116,38,7,12.7,2.7左,5.9右,9i
25,56,81,28,5,17.1,5.1右,5.5右,9i
26,98,110,36,15,21.3,9.1左,22.5左,9i
27,98,106,36,18,25.1,5.5左,13.2左,9i
28,47,59,23,8,30.3,22.3右,22.2右,9i
29,40,81,34,1,6.8,3.3右,5.2右,9i
30,79,89,31,14,27.5,0.7右,5.0右,9i
31,37,68,26,3,16.2,15.5左,12.4左,9i
32,29,54,25,2,14.1,8.6左,6.7左,9i
33,89,96,33,18,28.0,4.7左,2.2左,9i
34,107,115,38,21,25.9,7.0左,12.0左,9i
35,77,82,31,17,32.7,1.6右,13.0右,9i
36,12,29,16,1,12.5,19.8右,4.4右,9i
37,70,78,30,12,27.2,5.9右,18.4右,9i
38,34,54,23,4,21.7,7.5左,1.0左,9i
39,34,61,24,3,17.3,8.6左,7.4左,7i
40,29,64,27,2,11.4,0.3左,1.8右,7i
41,55,67,26,7,24.0,7.5右,13.5右,7i
42,62,79,28,8,21.4,7.1右,13.0右,7i
43,20,61,30,1,5.9,7.9右,1.8右,7i
44,27,39,17,4,29.3,31.2左,14.1左,7i
45,76,88,31,12,26.2,8.1右,23.0右,7i
46,89,109,34,11,19.5,1.3右,3.5右,7i
47,76,94,31,10,22.2,8.7右,18.9右,7i
48,62,81,28,8,23.3,26.5右,35.1右,7i
49,14,31,17,1,11.9,11.4右,3.2右,7i
50,105,118,37,17,22.3,3.7左,1.5左,7i
51,26,78,37,1,5.0,3.8右,3.1右,7i
52,90,113,34,10,18.2,2.9左,2.1左,7i
53,20,60,30,0,4.5,6.2右,2.8右,7i
54,25,79,39,0,2.4,5.4右,3.0右,7i
